,     <HIST> , SNX05                  , SMMU-1      , SWITCH    , 2017-07-09  16:29:42.89, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 13 33 23 47 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:15.22, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6329, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:18.13, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6329, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:23.15, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6330, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:39.19, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6330, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:37:27.78, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6331, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:37:32.93, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6331, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-2      , SWITCH    , 2017-07-09  21:48:53.76, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 22 32 83 31 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:08:05.23, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6474, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:09:05.54, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6474, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:09:44.04, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6475, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:10:37.72, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6475, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:13:17.76, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6476, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:14:10.25, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6476, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
